Area,Area%,Crop Type,CropID,ETa,ETa90,ETblue,ETcv,ETcv_blue,ETgreen,Name,Precip,RETmax,RETmin,Season,TBP,TBP_P,status,year,Water Intensive (based on Etp)
58.64194663,0.7,Class1,31,280,425,0,,,229,Ong,116,,,3,3483,,RAINFED,2019,
558.1647272,6.8,Class4,34,368,445,0,,,289,Ong,147,,,3,4894,,RAINFED,2019,
4062.360047,38.4,Kharif Crop,1,373,485,0,,,383,Ong,1263,,,0,6656,,RAINFED,2020,
13.2184321,0.1,Rabi Crop,2,179,277,0,,,177,Ong,88,,,0,3666,,RAINFED,2020,
34.23743011,0.3,Double Crop Kharif/Rabi,4,309,457,0,,,309,Ong,1062,,,0,5188,,RAINFED,2020,
102.8412562,1,Double Crop Kharif/Zaid,5,664,875,0,,,573,Ong,1545,,,0,10216,,RAINFED,2020,
55.76378209,0.5,Perennial Crops,8,954,1173,0,,,780,Ong,1742,,,0,15452,,RAINFED,2020,
21.13423492,0.2,Other Irrigated (High Water Intensive),14,348,396,0,,,226,Ong,1362,,,1,5401,,RAINFED,2020,
38.90102756,0.4,Other Irrigated (Less Water Intensive),15,278,340,0,,,218,Ong,1307,,,1,4125,,RAINFED,2020,
3058.305421,29.2,Other Unirrigated,17,186,272,0,,,202,Ong,1141,,,1,2702,,RAINFED,2020,
18.05247043,0.2,Other Irrigated (Less Water Intensive),15,262,370,0,,,229,Ong,99,,,2,6127,,RAINFED,2020,
3098.16321,32.2,Other Unirrigated,17,189,212,0,,,182,Ong,91,,,2,4052,,RAINFED,2020,
22.17632824,1,Other Irrigated (High Water Intensive),14,225,513,0,,,121,Ong,93,,,3,2021,,RAINFED,2020,
5.011163184,0.2,Other Irrigated (Less Water Intensive),15,131,307,0,,,105,Ong,81,,,3,1264,,RAINFED,2020,
21.67738661,0.9,Other Unirrigated,17,184,269,0,,,148,Ong,111,,,3,1915,,RAINFED,2020,
13.05028395,0.6,Class1,31,182,352,0,,,130,Ong,109,,,3,1443,,RAINFED,2020,
26.77008661,1.2,Class4,34,308,473,0,,,202,Ong,157,,,3,2888,,RAINFED,2020,
1975.210994,21.9,Kharif Crop,1,331,421,0,,,333,Ong,881,,,0,6621,,RAINFED,2021,
48.51582411,0.5,Rabi Crop,2,204,269,0,,,195,Ong,90,,,0,4645,,RAINFED,2021,
47.07614322,0.5,Double Crop Kharif/Rabi,4,346,473,0,,,345,Ong,928,,,0,7308,,RAINFED,2021,
29.19835367,0.3,Double Crop Kharif/Zaid,5,661,914,0,,,540,Ong,1054,,,0,10214,,RAINFED,2021,
87.11364443,1,Perennial Crops,8,762,1037,0,,,634,Ong,1289,,,0,14556,,RAINFED,2021,
28.49166418,0.3,Other Irrigated (Less Water Intensive),15,200,264,0,,,156,Ong,898,,,1,3460,,RAINFED,2021,
1210.190549,13.6,Other Unirrigated,17,142,214,0,,,153,Ong,801,,,1,2450,,RAINFED,2021,
31.29716357,0.4,Other Irrigated (Less Water Intensive),15,271,346,0,,,231,Ong,97,,,2,7068,,RAINFED,2021,
1122.05974,13.1,Other Unirrigated,17,188,210,0,,,182,Ong,83,,,2,4153,,RAINFED,2021,
33.28836097,1.3,Other Irrigated (High Water Intensive),14,238,553,0,,,120,Ong,89,,,3,1729,,RAINFED,2021,
3.054623628,0.1,Other Irrigated (Less Water Intensive),15,170,310,0,,,135,Ong,40,,,3,2209,,RAINFED,2021,
111.0990525,4.4,Other Unirrigated,17,212,225,0,,,174,Ong,34,,,3,3004,,RAINFED,2021,
8.326642641,0.3,Class1,31,182,349,0,,,143,Ong,52,,,3,2325,,RAINFED,2021,
13.54364148,0.5,Class4,34,231,445,0,,,161,Ong,83,,,3,2564,,RAINFED,2021,
3414.257932,25.6,Kharif Crop,1,390,465,0,,,382,Ong,1262,,,0,8612,,RAINFED,2022,
11.5897667,0.1,Double Crop Kharif/Rabi,4,353,526,0,,,354,Ong,1260,,,0,7424,,RAINFED,2022,
333.0978828,2.5,Double Crop Kharif/Zaid,5,780,947,0,,,642,Ong,1395,,,0,13826,,RAINFED,2022,
111.561626,0.8,Perennial Crops,8,1010,1161,0,,,785,Ong,1483,,,0,18518,,RAINFED,2022,
45.91825923,0.3,Other Irrigated (Less Water Intensive),15,253,300,0,,,205,Ong,1159,,,1,4578,,RAINFED,2022,
2118.230245,16,Other Unirrigated,17,213,260,0,,,206,Ong,1149,,,1,3951,,RAINFED,2022,
31.31726213,0.3,Other Irrigated (Less Water Intensive),15,283,376,0,,,245,Ong,131,,,2,7999,,RAINFED,2022,
1727.266833,13.9,Other Unirrigated,17,189,208,0,,,184,Ong,114,,,2,4842,,RAINFED,2022,
69.66169186,1.5,Other Irrigated (High Water Intensive),14,230,541,0,,,126,Ong,38,,,3,2121,,RAINFED,2022,
14.41972976,0.3,Other Irrigated (Less Water Intensive),15,136,312,0,,,102,Ong,28,,,3,1180,,RAINFED,2022,
37.67258333,0.8,Other Unirrigated,17,246,329,0,,,194,Ong,52,,,3,2058,,RAINFED,2022,
25.4470429,0.6,Class1,31,233,369,0,,,157,Ong,45,,,3,1820,,RAINFED,2022,
180.6642165,3.9,Class4,34,321,445,0,,,205,Ong,60,,,3,2758,,RAINFED,2022,
